anonID,birthdate,edad,routeDate,month,day,year,region,gender,areaWealthLevel,badWeather,weatherRestrictions,region-gender-areaWealthLevel-badWeather-weatherRestrictions,areaPopulation,routeTotalDistance,numberOfShops,marketShare,avgAreaBenefits,timeFromAvg,advertising,employeeLYScore,employeeTenure,employeePrevComps,success
XLKC1691,23/10/1969,52,19/05/2020,5,19,"2,020",NA,M,Mid,No,No,NA-M-Mid-No-No,31,28,26,49,19,0,3,4,1,1,-1
KANY6459,14/04/1976,46,19/05/2020,5,19,"2,020",LATAM,M,Mid,No,No,LATAM-M-Mid-No-No,53,21,28,96,14,0,3,4,3,2,-1
ULUZ5859,04/03/1985,37,,nan,nan,nan,NA,M,High,Yes,No,NA-M-High-Yes-Yes,25,26,25,76,14,0,2,3,1,1,-1
LDCQ7279,24/03/1968,54,05/11/2020,11,5,"2,020",NA,M,Mid,No,No,NA-M-Mid-No-No,37,24,26,65,19,0,2,4,3,2,-1
KIUB5860,22/04/1978,44,19/05/2020,5,19,"2,020",AMESA,M,Low,No,No,AMESA-M-Low-No-No,12,23,22,72,12,0,2,3,3,2,-1
VEZE5345,11/11/1987,34,20/05/2020,5,20,"2,020",LATAM,M,High,No,No,LATAM-M-High-No-No,24,21,22,71,13,1,0,3,2,2,1
ZLGN3220,10/08/1977,44,,nan,nan,nan,Europe,M,Mid,No,No,Europe-M-Mid-No-No,9,22,20,59,36,0,3,4,3,2,1
GNGF9983,11/02/1976,46,21/05/2020,5,21,"2,020",NA,M,Mid,No,No,NA-M-Mid-No-No,27,26,22,54,16,0,3,3,0,2,1
LSDY3534,19/02/1985,37,22/05/2020,5,22,"2,020",AMESA,M,NA,No,No,AMESA-M-NA-No-No,12,28,25,60,12,0,0,2,2,1,1
BNXK4003,05/11/1977,44,21/05/2020,5,21,"2,020",Europe,M,Mid,No,No,Europe-M-Mid-No-No,26,26,24,61,20,0,3,4,2,1,1
CODE8774,12/01/1970,52,14/05/2020,5,14,"2,020",APAC,M,High,No,No,APAC-M-High-No-No,8,26,28,70,24,0,2,3,1,1,1
NAHF9636,17/11/1965,56,22/05/2020,5,22,"2,020",AMESA,M,Low,No,No,AMESA-M-Low-No-No,16,28,21,69,20,0,3,3,3,1,1
DTYR2313,23/11/1982,39,14/05/2020,5,14,"2,020",AMESA,M,High,No,No,AMESA-M-High-No-No,18,26,26,81,10,0,0,2,1,1,1
XIXI4608,29/12/1963,58,05/12/2020,12,5,"2,020",APAC,M,Mid,No,No,APAC-M-Mid-No-No,74,20,25,100,20,0,2,5,1,0,1
CFLN8549,26/08/1965,56,,nan,nan,nan,Europe,M,High,No,No,Europe-M-High-No-No,11,25,26,48,12,-1,2,3,3,2,1
ZXEQ4856,28/07/1961,60,13/05/2020,5,13,"2,020",NA,M,Mid,No,No,NA-M-Mid-No-No,8,25,23,79,23,0,2,3,1,2,-1
PCWD7678,18/05/1985,37,18/05/2020,5,18,"2,020",NA,M,NA,No,No,NA-M-NA-No-No,11,25,22,72,17,0,0,1,2,1,1
MARF6538,30/04/1968,54,19/05/2020,5,19,"2,020",LATAM,M,Mid,No,No,LATAM-M-Mid-No-No,4,24,27,72,17,0,2,3,3,2,1
BGBR9895,30/05/1979,43,,nan,nan,nan,AMESA,M,Low,No,No,AMESA-M-Low-No-No,44,24,25,48,17,0,3,4,2,2,1
VBHM5533,27/09/1962,59,19/05/2020,5,19,"2,020",APAC,M,High,No,No,APAC-M-High-No-No,40,25,24,88,25,0,2,4,3,1,1
UQWX6478,22/10/1976,45,14/05/2020,5,14,"2,020",NA,M,Mid,No,No,NA-M-Mid-No-No,5,24,26,69,25,0,3,4,2,2,1
DQRU1889,18/02/1967,55,22/05/2020,5,22,"2,020",APAC,M,Mid,No,No,APAC-M-Mid-No-No,5,23,23,93,21,0,3,3,3,1,1
