,anonID,success_real,success_pred
0,IGVB3191,1,1
1,YWGU4220,1,1
2,OSDN4594,1,1
3,BIMU7017,1,1
4,EESX2634,1,1
5,ZMPB4862,1,1
6,BGNV6418,1,1
7,DQRI1781,1,1
8,FSRE1967,1,1
9,OKYP9224,1,1
10,VAEE3492,1,1
11,LDVS1279,1,1
12,ZWQE8454,1,1
13,FNPM7758,1,1
14,SRHR9122,0,1
15,EMZC3375,1,1
16,OWWO6439,1,1
17,UQGE2407,1,1
18,NAYM3466,1,1
19,ZTLB4100,1,1
20,CRYM4247,1,1
21,NETQ5250,1,1
22,NVBN3643,1,1
23,UDJH5348,1,1
24,XZHQ3144,1,1
25,PLUL2063,1,1
26,UWTY1924,1,1
27,GXAX9161,1,1
28,HHGG8146,1,1
29,WKBO7926,1,1
30,ZIBA7387,1,1
31,HTFD6922,1,1
32,RGZQ2624,1,1
33,NLIJ8488,1,1
34,FRZN1310,1,1
35,JUEX8349,1,1
36,DWXS8699,1,1
37,MYTS1689,1,1
38,QVAH4696,1,1
39,MTFP8009,1,1
40,PJLR8271,1,1
41,LFEQ3830,1,1
42,PRNZ2587,0,1
43,ARXJ4870,1,1
44,BMRT1858,1,1
45,OBXP8273,1,1
46,PYCN4142,1,1
47,QEHE4066,1,1
48,SAGU9602,1,1
49,JAZN6062,1,1
50,XFWJ6844,1,1
51,LBEA3251,1,1
52,QNGI1673,1,1
53,LLOV1536,1,1
54,FABA6865,1,1
55,AMDN8438,1,1
56,WPAM3309,1,1
57,MZUH6188,1,1
58,PPUW3826,1,1
59,DBCO5733,1,1
60,OCBB9793,1,1
61,AXKE6910,1,1
62,NCQL6648,1,1
63,IFMZ2869,1,1
64,POIX5626,0,1
65,VBLE8153,1,1
66,HLDO9018,1,1
67,GTMS9229,1,1
68,STIA5899,1,1
69,OSXF2124,1,1
70,YUYU9183,1,1
71,DBUI2404,1,1
72,EYRF9044,1,1
73,IQLT7300,1,1
74,YNUS2820,1,1
75,BXOL5758,1,1
76,UMCA1717,1,1
77,QUZW4788,1,1
78,TINH6326,1,1
79,BSDQ6330,1,1
80,LDXX5601,1,1
81,TLMV3414,1,1
82,JZSZ2061,1,1
83,FICK7654,1,1
84,SOWW5665,1,1
85,JSOX3193,1,0
86,NVES7062,1,1
87,BVWK2013,1,1
88,VMOO3861,1,1
89,SCOO1969,1,1
90,YXYZ6301,1,1
91,UZNQ8446,1,1
92,PMAD4264,1,1
93,XGPF4446,1,1
94,HWHG9058,1,1
95,QLHB4358,1,1
96,PHMI3865,1,1
97,UTMW8862,1,1
98,CVBZ9209,1,1
99,RBXJ9684,1,1
100,RUIJ4382,1,1
101,EEGQ7608,1,1
102,TAVB3646,1,1
103,BRAE7442,1,1
104,PNKE9078,1,1
105,BAAA8563,1,1
106,UTDG8168,1,1
107,PZHG8373,1,1
108,OXFW4812,1,1
109,WTSK5306,1,1
110,OYIA1826,1,1
111,UEDD8130,1,1
112,UGCK4782,1,1
113,WYCQ1640,1,1
114,SNAJ6537,0,1
115,NBBF8428,1,1
116,BTAI1023,1,1
117,UFZD1192,1,1
118,GQWC2152,1,1
119,OQZI9403,1,1
120,CHWU1708,1,1
121,ADBX6750,1,1
122,JQJG3875,1,1
123,CEIB3625,1,1
124,AJTQ5315,1,1
125,CLPL1506,1,1
126,EXWN8496,1,1
127,IFRE1869,1,1
128,TJHV4024,1,1
129,CXLM7510,1,1
130,GPZU7898,1,1
131,VBCO9826,1,1
132,UMHO9225,1,1
133,DDZN3281,1,1
134,OSZU2509,1,1
135,UKBS7687,1,1
136,KCSL8250,1,1
137,IEQN7320,1,1
